row_idx,timestamp,block_id,fold_id,split,purged,anomaly_label
0,2026-06-24 08:00:00.000,0,1,val,True,0
1,2026-06-24 08:00:00.100,0,1,val,True,0
2,2026-06-24 08:00:00.200,0,1,val,True,0
3,2026-06-24 08:00:00.300,0,1,val,True,0
4,2026-06-24 08:00:00.400,0,1,val,True,0
5,2026-06-24 08:00:00.500,0,1,val,True,0
6,2026-06-24 08:00:00.600,0,1,val,True,0
7,2026-06-24 08:00:00.700,0,1,val,True,0
8,2026-06-24 08:00:00.800,0,1,val,True,0
9,2026-06-24 08:00:00.900,0,1,val,True,0
10,2026-06-24 08:00:01.000,0,1,val,True,0
11,2026-06-24 08:00:01.100,0,1,val,True,0
12,2026-06-24 08:00:01.200,0,1,val,True,0
13,2026-06-24 08:00:01.300,0,1,val,True,0
14,2026-06-24 08:00:01.400,0,1,val,True,0
15,2026-06-24 08:00:01.500,0,1,val,True,0
16,2026-06-24 08:00:01.600,0,1,val,True,0
17,2026-06-24 08:00:01.700,0,1,val,True,0
18,2026-06-24 08:00:01.800,0,1,val,True,0
19,2026-06-24 08:00:01.900,0,1,val,True,0
20,2026-06-24 08:00:02.000,0,1,val,True,0
21,2026-06-24 08:00:02.100,0,1,val,True,0
22,2026-06-24 08:00:02.200,0,1,val,True,0
23,2026-06-24 08:00:02.300,0,1,val,True,0
24,2026-06-24 08:00:02.400,0,1,val,True,0
25,2026-06-24 08:00:02.500,0,1,val,True,0
26,2026-06-24 08:00:02.600,0,1,val,True,0
27,2026-06-24 08:00:02.700,0,1,val,True,0
28,2026-06-24 08:00:02.800,0,1,val,True,0
29,2026-06-24 08:00:02.900,0,1,val,True,0
30,2026-06-24 08:00:03.000,0,1,val,True,0
31,2026-06-24 08:00:03.100,0,1,val,True,0
32,2026-06-24 08:00:03.200,0,1,val,True,0
33,2026-06-24 08:00:03.300,0,1,val,True,0
34,2026-06-24 08:00:03.400,0,1,val,True,0
35,2026-06-24 08:00:03.500,0,1,val,True,0
36,2026-06-24 08:00:03.600,0,1,val,True,0
37,2026-06-24 08:00:03.700,0,1,val,True,0
38,2026-06-24 08:00:03.800,0,1,val,True,0
39,2026-06-24 08:00:03.900,0,1,val,True,0
40,2026-06-24 08:00:04.000,0,1,val,True,0
41,2026-06-24 08:00:04.100,0,1,val,True,0
42,2026-06-24 08:00:04.200,0,1,val,True,0
43,2026-06-24 08:00:04.300,0,1,val,True,0
44,2026-06-24 08:00:04.400,0,1,val,True,0
45,2026-06-24 08:00:04.500,0,1,val,True,0
46,2026-06-24 08:00:04.600,0,1,val,True,0
47,2026-06-24 08:00:04.700,0,1,val,True,0
48,2026-06-24 08:00:04.800,0,1,val,True,0
49,2026-06-24 08:00:04.900,0,1,val,True,0
50,2026-06-24 08:00:05.000,0,1,val,False,0
51,2026-06-24 08:00:05.100,0,1,val,False,0
52,2026-06-24 08:00:05.200,0,1,val,False,0
53,2026-06-24 08:00:05.300,0,1,val,False,0
54,2026-06-24 08:00:05.400,0,1,val,False,0
55,2026-06-24 08:00:05.500,0,1,val,False,0
56,2026-06-24 08:00:05.600,0,1,val,False,0
57,2026-06-24 08:00:05.700,0,1,val,False,0
58,2026-06-24 08:00:05.800,0,1,val,False,0
59,2026-06-24 08:00:05.900,0,1,val,False,0
60,2026-06-24 08:00:06.000,0,1,val,False,0
61,2026-06-24 08:00:06.100,0,1,val,False,0
62,2026-06-24 08:00:06.200,0,1,val,False,0
63,2026-06-24 08:00:06.300,0,1,val,False,0
64,2026-06-24 08:00:06.400,0,1,val,False,0
65,2026-06-24 08:00:06.500,0,1,val,False,0
66,2026-06-24 08:00:06.600,0,1,val,False,0
